Time (s), INST BN VOLTS
0.2277644, -8150.9716796875
0.228025, -8150.9716796875
0.2282856, -8161.62646484375
0.2285462, -8049.75048828125
0.2288068, -7831.32568359375
0.2290674, -7501.02490234375
0.229328, -7154.74169921875
0.2295886, -6739.2021484375
0.2298492, -6249.07861328125
0.2301098, -5705.68017578125
0.2303704, -5103.68017578125
0.230631, -4507.0078125
0.2308916, -3841.07885742188
0.2311522, -3137.85766601563
0.2314128, -2397.3447265625
0.2316734, -1582.24743652344
0.231934, -756.495422363281
0.2321946, 69.2566223144531
0.2324552, 857.716613769531
0.2327158, 1603.55725097656
0.2329764, 2333.41552734375
0.233237, 3052.61889648438
0.2334976, 3771.822265625
0.2337582, 4533.64501953125
0.2340188, 5258.17578125
0.2342794, 5892.140625
0.23454, 6403.57373046875
0.2348006, 6781.82177734375
0.2350612, 7058.84814453125
0.2353218, 7399.8037109375
0.2355824, 7676.830078125
0.235843, 7969.8388671875
0.2361036, 8124.33447265625
0.2363642, 8198.9189453125
0.2366248, 8220.228515625
0.2368854, 8108.3525390625
0.237146, 7868.61767578125
0.2374066, 7538.31689453125
0.2376672, 7133.43212890625
0.2379278, 6664.6181640625
0.2381884, 6169.1669921875
0.238449, 5641.7509765625
0.2387096, 5119.66259765625
0.2389702, 4560.2822265625
0.2392308, 3931.64526367188
0.2394914, 3249.73388671875
0.239752, 2466.60131835938
0.2400126, 1640.84924316406
0.2402732, 761.822875976563
0.2405338, -79.911491394043
0.2407944, -889.681213378906
0.241055, -1614.21203613281
0.2413156, -2290.7958984375
0.2415762, -2994.01708984375
0.2418368, -3686.58325195313
0.2420974, -4427.0966796875
0.242358, -5140.97216796875
0.2426186, -5764.2822265625
0.2428792, -6313.0078125
0.2431398, -6755.1845703125
0.2434004, -7090.8125
0.243661, -7447.75048828125
0.2439216, -7740.75927734375
0.2441822, -8007.13134765625
0.2444428, -8140.31689453125
0.2447034, -8172.28173828125
0.244964, -8156.29931640625
0.2452246, -8039.095703125
0.2454852, -7831.32568359375
0.2457458, -7538.31689453125
0.2460064, -7186.70654296875
0.246267, -6744.52978515625
0.2465276, -6249.07861328125
0.2467882, -5700.35302734375
0.2470488, -5098.35302734375
0.2473094, -4475.04345703125
0.24757, -3830.42407226563
0.2478306, -3132.5302734375
0.2480912, -2407.99951171875
0.2483518, -1582.24743652344
0.2486124, -761.822875976563
0.248873, 58.6017570495605
0.2491336, 836.406921386719
0.2493942, 1619.53955078125
0.2496548, 2338.74291992188
0.2499154, 3068.60107421875
0.250176, 3782.47705078125
0.2504366, 4528.31787109375
0.2506972, 5258.17578125
0.2509578, 5892.140625
0.2512184, 6392.9189453125
0.251479, 6771.1669921875
0.2517396, 7064.17578125
0.2520002, 7437.095703125
0.2522608, 7719.44970703125
0.2525214, 8012.45849609375
0.252782, 8124.33447265625
0.2530426, 8166.9541015625
0.2533032, 8188.263671875
0.2535638, 8092.3701171875
0.2538244, 7857.962890625
0.254085, 7511.6796875
0.2543456, 7122.77734375
0.2546062, 6653.96337890625
0.2548668, 6158.51220703125
0.2551274, 5625.7685546875
0.255388, 5098.35302734375
0.2556486, 4549.62744140625
0.2559092, 3952.95483398438
0.2561698, 3255.06127929688
0.2564304, 2482.58349609375
0.256691, 1624.86694335938
0.2569516, 756.495422363281
0.2572122, -95.8937835693359
0.2574728, -900.336120605469
0.2577334, -1630.1943359375
0.257994, -2306.7783203125
0.2582546, -2988.68969726563
0.2585152, -3691.91064453125
0.2587758, -4427.0966796875
0.2590364, -5151.62744140625
0.259297, -5790.9189453125
0.2595576, -6334.3173828125
0.2598182, -6771.1669921875
0.2600788, -7090.8125
0.2603394, -7421.11376953125
0.2606, -7730.1044921875
0.2608606, -7980.494140625
0.2611212, -8113.6796875
0.2613818, -8145.64453125
0.2616424, -8145.64453125
0.261903, -8071.060546875
0.2621636, -7852.6357421875
0.2624242, -7543.64453125
0.2626848, -7192.0341796875
0.2629454, -6749.85693359375
0.263206, -6249.07861328125
0.2634666, -5679.04296875
0.2637272, -5071.7158203125
0.2639878, -4459.06103515625
0.2642484, -3830.42407226563
0.264509, -3121.87548828125
0.2647696, -2349.39770507813
0.2650302, -1571.59265136719
0.2652908, -751.16796875
0.2655514, 53.2743263244629
0.265812, 847.061767578125
0.2660726, 1624.86694335938
0.2663332, 2333.41552734375
0.2665938, 3052.61889648438
0.2668544, 3771.822265625
0.267115, 4512.33544921875
0.2673756, 5220.8837890625
0.2676362, 5860.17578125
0.2678968, 6376.9365234375
0.2681574, 6776.494140625
0.268418, 7064.17578125
0.2686786, 7474.3876953125
0.2689392, 7762.0693359375
0.2691998, 8055.078125
0.2694604, 8198.9189453125
0.269721, 8230.8828125
0.2699816, 8230.8828125
0.2702422, 8124.33447265625
0.2705028, 7879.27294921875
0.2707634, 7543.64453125
0.271024, 7165.39697265625
0.2712846, 6696.58251953125
0.2715452, 6163.83935546875
0.2718058, 5641.7509765625
0.2720664, 5093.025390625
0.272327, 4528.31787109375
0.2725876, 3915.66284179688
0.2728482, 3223.0966796875
0.2731088, 2466.60131835938
0.2733694, 1624.86694335938
0.27363, 772.477722167969
0.2738906, -69.2566223144531
0.2741512, -879.0263671875
0.2744118, -1608.88464355469
0.2746724, -2301.45092773438
0.274933, -2983.3623046875
0.2751936, -3691.91064453125
0.2754542, -4421.76904296875
0.2757148, -5140.97216796875
0.2759754, -5785.591796875
0.276236, -6334.3173828125
0.2764966, -6771.1669921875
0.2767572, -7090.8125
0.2770178, -7458.40576171875
0.2772784, -7788.70654296875
0.277539, -8076.3876953125
0.2777996, -8193.5908203125
0.2780602, -8209.5732421875
0.2783208, -8188.263671875
0.2785814, -8049.75048828125
0.278842, -7820.6708984375
0.2791026, -7522.3349609375
0.2793632, -7149.41455078125
0.2796238, -6707.23779296875
0.2798844, -6195.80419921875
0.280145, -5625.7685546875
0.2804056, -5045.07861328125
0.2806662, -4432.423828125
0.2809268, -3782.47705078125
0.2811874, -3105.89306640625
0.281448, -2376.03491210938
0.2817086, -1592.90234375
0.2819692, -788.460021972656
0.2822298, 26.6371631622314
0.2824904, 820.424621582031
0.282751, 1571.59265136719
0.2830116, 2290.7958984375
0.2832722, 2994.01708984375
0.2835328, 3734.5302734375
0.2837934, 4469.7158203125
0.284054, 5188.91943359375
0.2843146, 5812.22900390625
0.2845752, 6307.68017578125
0.2848358, 6717.892578125
0.2850964, 7053.5205078125
0.285357, 7543.64453125
0.2856176, 7889.927734375
0.2858782, 8177.60888671875
0.2861388, 8273.5029296875
0.2863994, 8278.830078125
0.28666, 8241.5380859375
0.2869206, 8108.3525390625
0.2871812, 7857.962890625
0.2874418, 7538.31689453125
0.2877024, 7176.0517578125
0.287963, 6691.25537109375
0.2882236, 6174.494140625
0.2884842, 5636.423828125
0.2887448, 5103.68017578125
0.2890054, 4549.62744140625
0.289266, 3936.97265625
0.2895266, 3244.40649414063
0.2897872, 2471.9287109375
0.2900478, 1635.52185058594
0.2903084, 756.495422363281
0.290569, -85.2389221191406
0.2908296, -889.681213378906
0.2910902, -1603.55725097656
0.2913508, -2280.14111328125
0.2916114, -2972.70727539063
0.291872, -3681.255859375
0.2921326, -4432.423828125
0.2923932, -5140.97216796875
0.2926538, -5790.9189453125
0.2929144, -6334.3173828125
0.293175, -6765.83935546875
0.2934356, -7096.14013671875
0.2936962, -7469.060546875
0.2939568, -7751.41455078125
0.2942174, -8028.44091796875
0.294478, -8150.9716796875
0.2947386, -8198.9189453125
0.2949992, -8166.9541015625
0.2952598, -8065.73291015625
0.2955204, -7825.99853515625
0.295781, -7517.00732421875
0.2960416, -7154.74169921875
0.2963022, -6728.54736328125
0.2965628, -6211.7861328125
0.2968234, -5647.07861328125
0.297084, -5061.06103515625
0.2973446, -4448.40625
0.2976052, -3787.80444335938
0.2978658, -3068.60107421875
0.2981264, -2317.43310546875
0.298387, -1512.99084472656
0.2986476, -692.566223144531
0.2989082, 111.876083374023
0.2991688, 905.663513183594
0.2994294, 1640.84924316406
0.29969, 2354.72509765625
0.2999506, 3073.92846679688
0.3002112, 3798.45947265625
0.3004718, 4538.97265625
0.3007324, 5263.50341796875
0.300993, 5897.4677734375
0.3012536, 6419.55615234375
0.3015142, 6797.8037109375
0.3017748, 7096.14013671875
0.3020354, 7383.8212890625
0.302296, 7666.17529296875
0.3025566, 7927.2197265625
0.3028172, 8092.3701171875
0.3030778, 8156.29931640625
0.3033384, 8161.62646484375
0.303599, 8060.4052734375
0.3038596, 7836.6533203125
0.3041202, 7511.6796875
0.3043808, 7101.4677734375
0.3046414, 6627.326171875
0.304902, 6126.54736328125
0.3051626, 5599.1318359375
0.3054232, 5061.06103515625
0.3056838, 4485.6982421875
0.3059444, 3867.71606445313
0.306205, 3185.8046875
0.3064656, 2418.654296875
0.3067262, 1587.57495117188
0.3069868, 751.16796875
0.3072474, -85.2389221191406
0.307508, -873.698913574219
0.3077686, -1598.22973632813
0.3080292, -2285.46850585938
0.3082898, -2972.70727539063
0.3085504, -3665.27368164063
0.308811, -4405.78662109375
0.3090716, -5130.3173828125
0.3093322, -5774.93701171875
0.3095928, -6323.66259765625
0.3098534, -6760.51171875
0.310114, -7090.8125
0.3103746, -7431.7685546875
0.3106352, -7740.75927734375
0.3108958, -8012.45849609375
0.3111564, -8161.62646484375
0.311417, -8204.24609375
0.3116776, -8204.24609375
0.3119382, -8092.3701171875
0.3121988, -7857.962890625
0.3124594, -7580.9365234375
0.31272, -7229.326171875
0.3129806, -6787.14892578125
0.3132412, -6270.38818359375
0.3135018, -5705.68017578125
0.3137624, -5124.990234375
0.314023, -4554.95458984375
0.3142836, -3926.31787109375
0.3145442, -3127.20288085938
0.3148048, -2354.72509765625
0.3150654, -1497.00854492188
0.315326, -708.548522949219
0.3155866, 111.876083374023
0.3158472, 884.353820800781
0.3161078, 1646.17663574219
0.3163684, 2290.7958984375
0.316629, 3015.32690429688
0.3168896, 3734.5302734375
0.3171502, 4496.35302734375
0.3174108, 5199.57421875
0.3176714, 5860.17578125
