t,signal
0.056,0.89009
0.056125,0.86576
0.05625,0.84007
0.056375,0.81376
0.0565,0.78922
0.056625,0.7623
0.05675,0.73063
0.056875,0.69494
0.057,0.65667
0.057125,0.61752
0.05725,0.57885
0.057375,0.54024
0.0575,0.49721
0.057625,0.45847
0.05775,0.42183
0.057875,0.38213
0.058,0.34237
0.058125,0.30138
0.05825,0.26073
0.058375,0.22192
0.0585,0.18154
0.058625,0.13716
0.05875,0.088897
0.058875,0.041792
0.059,-0.0025946
0.059125,-0.04535
0.05925,-0.087901
0.059375,-0.12739
0.0595,-0.16376
0.059625,-0.19958
0.05975,-0.23581
0.059875,-0.2734
0.06,-0.31153
0.060125,-0.35021
0.06025,-0.38814
0.060375,-0.42593
0.0605,-0.46196
0.060625,-0.49649
0.06075,-0.52959
0.060875,-0.56031
0.061,-0.58927
0.061125,-0.61931
0.06125,-0.64779
0.061375,-0.67457
0.0615,-0.70326
0.061625,-0.7316
0.06175,-0.75872
0.061875,-0.78415
0.062,-0.80868
0.062125,-0.83383
0.06225,-0.86082
0.062375,-0.88869
0.0625,-0.91139
0.062625,-0.93036
0.06275,-0.94939
0.062875,-0.96679
0.063,-0.97719
0.063125,-0.98154
0.06325,-0.9846
0.063375,-0.98834
0.0635,-0.99194
0.063625,-0.99507
0.06375,-0.99745
0.063875,-0.99969
0.064,-1.0013
0.064125,-1.0025
0.06425,-1.0034
0.064375,-1.0036
0.0645,-1.0032
0.064625,-1.0013
0.06475,-0.99602
0.064875,-0.98521
0.065,-0.96863
0.065125,-0.94986
0.06525,-0.93036
0.065375,-0.9101
0.0655,-0.88882
0.065625,-0.86497
0.06575,-0.84022
0.065875,-0.81684
0.066,-0.79319
0.066125,-0.7677
0.06625,-0.74112
0.066375,-0.71509
0.0665,-0.69123
0.066625,-0.66506
0.06675,-0.63352
0.066875,-0.59777
0.067,-0.5597
0.067125,-0.52014
0.06725,-0.4816
0.067375,-0.44347
0.0675,-0.40166
0.067625,-0.36367
0.06775,-0.32621
0.067875,-0.28747
0.068,-0.24784
0.068125,-0.20549
0.06825,-0.1643
0.068375,-0.12542
0.0685,-0.085182
0.068625,-0.040387
0.06875,0.0079412
